"Page / Area","Section","Source","Language","Before","Before Word Count","After","After Word Count","Reduction %","Flags","Max Sentence Before","Max Sentence After","Mixed-Language Density After"
"Home","proof[0].body","src/pages/Index.tsx","AR","قيادة المنتج والهندسة والجودة والتسليم ضمن نظام عمل واحد.","9","أوحّد المنتج والهندسة والجودة والتسليم في نظام عمل واضح.","10","-11.1","Rewritten","9","10","0%"
"Home","proof[0].title","src/pages/Index.tsx","EN","Head of Product & Technology","4","Head of Product & Technology","4","0","Verify factual context","4","4","0%"
"Home","proof[1].body","src/pages/Index.tsx","Mixed AR/EN","خلفية أكاديمية وعملية في الذكاء الاصطناعي وNLP، مع تركيز على الأنظمة القابلة للفحص.","13","خبرة أكاديمية وعملية في AI وNLP، تركّز على أنظمة قابلة للفحص.","12","7.7","Rewritten; Repeated theme","13","12","16.7%"
"Home","proof[1].title","src/pages/Index.tsx","EN","AI Engineer","2","AI Engineer","2","0","Verify factual context","2","2","0%"
"Home","proof[2].body","src/pages/Index.tsx","Mixed AR/EN","أساس في البيانات، معالجة اللغة، وتقييم التقنية بعيدًا عن الضجيج.","11","أساس في البيانات وNLP وتقييم التقنية بعيدًا عن الضجيج.","10","9.1","Rewritten","11","10","10%"
"Home","proof[2].title","src/pages/Index.tsx","EN","MSc in Big Data Systems","5","MSc in Big Data Systems","5","0","Verify factual context","5","5","0%"
"Home","selected-thoughts","src/pages/Index.tsx","AR","02 · أفكار مختارة","3","02 · أفكار مختارة","3","0","No change needed","3","3","0%"
"Home","selected-thoughts","src/pages/Index.tsx","AR","عرض كل الكتابات","3","عرض كل الكتابات","3","0","No change needed","3","3","0%"
"Home","selected-thoughts","src/pages/Index.tsx","AR","قراءة","1","للقراءة","1","0","Rewritten","1","1","0%"
"Home","thoughts-title","src/pages/Index.tsx","AR","أكتب عن الأنظمة التي تعمل في الواقع، لا في العرض فقط.","11","أكتب عن أنظمة تعمل في الواقع، لا في العروض.","9","18.2","Rewritten","11","9","0%"
"Journey / Timeline","fallbackOutcomes.ai-direction[0]","src/components/Timeline.tsx","EN","Product & Technology","2","Product & Technology","2","0","No change needed","2","2","0%"
"Journey / Timeline","fallbackOutcomes.ai-direction[1]","src/components/Timeline.tsx","Mixed AR/EN","AI Governance","2","حوكمة AI","2","0","Rewritten; High mixed-language density","2","2","50%"
"Journey / Timeline","fallbackOutcomes.ai-direction[2]","src/components/Timeline.tsx","AR","Technical Strategy","2","استراتيجية تقنية","2","0","Rewritten","2","2","0%"
"Journey / Timeline","fallbackOutcomes.l-one[0]","src/components/Timeline.tsx","AR","Software Engineering","2","هندسة البرمجيات","2","0","Rewritten; Terminology","2","2","0%"
"Journey / Timeline","fallbackOutcomes.l-one[1]","src/components/Timeline.tsx","AR","Robotics Simulation","2","محاكاة الروبوتات","2","0","Rewritten","2","2","0%"
"Journey / Timeline","fallbackOutcomes.l-one[2]","src/components/Timeline.tsx","EN","CAD workflows","2","CAD","1","50","Rewritten; Condensed","2","1","0%"
"Journey / Timeline","fallbackOutcomes.masters[0]","src/components/Timeline.tsx","EN","AI/NLP","1","AI","1","0","Rewritten","1","1","0%"
"Journey / Timeline","fallbackOutcomes.masters[1]","src/components/Timeline.tsx","EN","قاعدة أكاديمية","2","NLP","1","50","Rewritten; Condensed","2","1","0%"
"Journey / Timeline","fallbackOutcomes.masters[2]","src/components/Timeline.tsx","AR","أنظمة بيانات","2","أنظمة بيانات","2","0","No change needed","2","2","0%"
"Journey / Timeline","fallbackOutcomes.wianco-lead[0]","src/components/Timeline.tsx","AR","قيادة هندسية","2","قيادة هندسية","2","0","No change needed","2","2","0%"
"Journey / Timeline","fallbackOutcomes.wianco-lead[1]","src/components/Timeline.tsx","AR","Delivery Reliability","2","موثوقية التسليم","2","0","Rewritten","2","2","0%"
"Journey / Timeline","fallbackOutcomes.wianco-lead[2]","src/components/Timeline.tsx","AR","ملكية واضحة","2","ملكية واضحة","2","0","No change needed","2","2","0%"
"Journey / Timeline","journey-milestone-detail","src/components/Timeline.tsx","AR","الأثر ·","1","الأثر ·","1","0","No change needed","1","1","0%"
"Journey / Timeline","journey-timeline__index","src/components/Timeline.tsx","AR","محطات المسار المهني","3","محطات المسار المهني","3","0","No change needed","3","3","0%"
"Journey / Timeline","typeLabels.ai","src/components/Timeline.tsx","EN","AI","1","AI","1","0","No change needed","1","1","0%"
"Journey / Timeline","typeLabels.education","src/components/Timeline.tsx","AR","تعليم","1","تعليم","1","0","No change needed","1","1","0%"
"Journey / Timeline","typeLabels.leadership","src/components/Timeline.tsx","AR","قيادة","1","قيادة","1","0","No change needed","1","1","0%"
"Journey / Timeline","typeLabels.product","src/components/Timeline.tsx","AR","منتج","1","منتج","1","0","No change needed","1","1","0%"
"Journey / Timeline","typeLabels.role","src/components/Timeline.tsx","AR","دور تقني","2","دور تقني","2","0","No change needed","2","2","0%"
"Journey","Actions","src/content/journey/milestones/01-masters.md","Mixed AR/EN","دراسة الذكاء الاصطناعي ومعالجة اللغة الطبيعية ضمن مسار أكاديمي متخصص. العمل على أفكار مرتبطة بفهم النصوص العربية واستخراج المعرفة منها. بناء قاعدة نظرية تساعد على تقييم حلول AI الحديثة بواقعية","30","دراسة AI وNLP ضمن مسار أكاديمي متخصص. استكشاف فهم النصوص العربية واستخراج المعرفة. بناء أساس نظري لتقييم حلول AI بواقعية","20","33.3","Rewritten; Condensed; Verify factual context","10","7","15%"
"Journey","context","src/content/journey/milestones/01-masters.md","Mixed AR/EN","بدأت الرحلة من قاعدة أكاديمية في الذكاء الاصطناعي، معالجة اللغة الطبيعية، وأنظمة البيانات، مع تركيز خاص على اللغة العربية وبناء النماذج.","21","بدأت بخلفية أكاديمية في AI وNLP وأنظمة البيانات، مع تركيز على اللغة العربية وبناء النماذج.","15","28.6","Rewritten; Condensed; Verify factual context","21","15","13.3%"
"Journey","impact","src/content/journey/milestones/01-masters.md","AR","هذا الأساس جعل قراراتي التقنية لاحقًا أقل اعتمادًا على الموضة وأكثر ارتباطًا بفهم النظام والبيانات والمستخدم.","19","منحتني هذه الخلفية أساسًا لتقييم التقنية وفق النظام والبيانات والمستخدم، لا وفق رواجها.","14","26.3","Rewritten; Condensed; Verify factual context","19","14","0%"
"Journey","lesson","src/content/journey/milestones/01-masters.md","AR","القيادة التقنية القوية تحتاج معرفة عميقة بما يمكن للتقنية فعله وما لا يجب أن نحمّلها إياه.","17","تحتاج القيادة التقنية فهمًا عميقًا لقدرات التقنية وحدودها.","10","41.2","Rewritten; Condensed; Verify factual context","17","10","0%"
"Journey","location","src/content/journey/milestones/01-masters.md","AR","سوريا","1","سوريا","1","0","Verify factual context","1","1","0%"
"Journey","organization","src/content/journey/milestones/01-masters.md","EN","Damascus University / HIAST","3","Damascus University / HIAST","3","0","Verify factual context","3","3","0%"
"Journey","period","src/content/journey/milestones/01-masters.md","Neutral","2013 - 2021","2","2013 - 2021","2","0","Verify factual context","2","2","0%"
"Journey","title","src/content/journey/milestones/01-masters.md","Mixed AR/EN","أساس أكاديمي في AI/NLP وهندسة البرمجيات","6","أساس أكاديمي في AI وNLP وهندسة البرمجيات","7","-16.7","Rewritten; Verify factual context","6","7","28.6%"
"Journey","Actions","src/content/journey/milestones/02-l-one.md","AR","تطوير منصات تقنية يستخدمها مهندسون ومستخدمون متخصصون. العمل على محاكاة ومسارات روبوتية وربط بيانات هندسية ثلاثية الأبعاد. بناء حس عملي للعلاقة بين المعمارية، تجربة المستخدم، وقابلية التشغيل","27","تطوير منصات لمستخدمين متخصصين. العمل على محاكاة الروبوتات وربط بيانات هندسية ثلاثية الأبعاد. ربط المعمارية بتجربة المستخدم وقابلية التشغيل","19","29.6","Rewritten; Condensed; Verify factual context","10","9","0%"
"Journey","context","src/content/journey/milestones/02-l-one.md","Mixed AR/EN","انتقلت من المعرفة الأكاديمية إلى بناء منصات برمجية حقيقية في بيئات تجمع بين الويب، CAD، الروبوتات، والمحاكاة.","17","انتقلت إلى بناء منصات تجمع الويب وCAD والروبوتات والمحاكاة.","9","47.1","Rewritten; Condensed; Verify factual context","17","9","11.1%"
"Journey","impact","src/content/journey/milestones/02-l-one.md","AR","تعلمت أن جودة البرمجيات لا تأتي من الكود وحده، بل من فهم المشكلة، وضوح المتطلبات، وربط الحل بتشغيل واقعي.","19","تعلّمت أن جودة البرمجيات تبدأ بفهم المشكلة ووضوح المتطلبات وربط الحل بالتشغيل.","13","31.6","Rewritten; Condensed; Repeated theme; Verify factual context","19","13","0%"
"Journey","lesson","src/content/journey/milestones/02-l-one.md","AR","المنتج الجيد يبدأ عندما يفهم الفريق مشكلة المستخدم قبل أن يبدأ في بناء الحل.","14","يبدأ المنتج الجيد بفهم مشكلة المستخدم قبل بناء الحل.","9","35.7","Rewritten; Condensed; Verify factual context","14","9","0%"
"Journey","location","src/content/journey/milestones/02-l-one.md","AR","ألمانيا","1","ألمانيا","1","0","Verify factual context","1","1","0%"
"Journey","organization","src/content/journey/milestones/02-l-one.md","EN","L-One Systems GmbH","3","L-One Systems GmbH","3","0","Verify factual context","3","3","0%"
"Journey","period","src/content/journey/milestones/02-l-one.md","Neutral","2020 - 2022","2","2020 - 2022","2","0","Verify factual context","2","2","0%"
"Journey","title","src/content/journey/milestones/02-l-one.md","AR","من Software Engineering إلى أنظمة واقعية","6","من هندسة البرمجيات إلى أنظمة واقعية","6","0","Rewritten; Terminology; Verify factual context","6","6","0%"
"Journey","Actions","src/content/journey/milestones/03-wianco-lead.md","AR","تنظيم العمل بين المنتج والهندسة والجودة بطريقة تقلل الغموض وإعادة العمل. تطوير إيقاع تنفيذ يعتمد على التزامات واضحة ومراجعة قابلة للمتابعة. دعم الفريق في اتخاذ قرارات تقنية وعملية مرتبطة بجودة الإصدار وقابلية الصيانة","33","تنظيم العمل بين المنتج والهندسة والجودة لتقليل الغموض وإعادة العمل. بناء إيقاع تنفيذ قائم على التزامات واضحة ومراجعة منتظمة. دعم قرارات مرتبطة بجودة الإصدار وقابلية الصيانة","26","21.2","Rewritten; Condensed; Repeated theme; Verify factual context","12","10","0%"
"Journey","context","src/content/journey/milestones/03-wianco-lead.md","AR","توسع الدور من بناء الأنظمة إلى قيادة فرق ومسارات عمل تجمع بين التطوير، المنتج، الجودة، والتشغيل.","16","توسع دوري من بناء الأنظمة إلى قيادة فرق وعمل يجمع الهندسة والمنتج والجودة والتشغيل.","14","12.5","Rewritten; Verify factual context","16","14","0%"
"Journey","impact","src/content/journey/milestones/03-wianco-lead.md","AR","أصبح التركيز على بناء نظام عمل يجعل التسليم أكثر وضوحًا: أولويات مفهومة، ملكية محددة، ومتابعة لا تعتمد على الذاكرة أو المبادرات الفردية فقط.","24","ركزت على أولويات مفهومة وملكية محددة ومتابعة لا تعتمد على المبادرات الفردية.","12","50","Rewritten; Condensed; Repeated theme; Verify factual context","24","12","0%"
"Journey","lesson","src/content/journey/milestones/03-wianco-lead.md","AR","القيادة ليست السيطرة على كل تفصيل؛ القيادة هي بناء نظام يستطيع الفريق أن يثق به ويملكه.","16","القيادة هي بناء نظام يثق به الفريق ويستطيع امتلاكه.","9","43.8","Rewritten; Condensed; Verify factual context","10","9","0%"
"Journey","location","src/content/journey/milestones/03-wianco-lead.md","AR","ألمانيا","1","ألمانيا","1","0","Verify factual context","1","1","0%"
"Journey","organization","src/content/journey/milestones/03-wianco-lead.md","EN","WIANCO OTT Robotics GmbH","4","WIANCO OTT Robotics GmbH","4","0","Verify factual context","4","4","0%"
"Journey","period","src/content/journey/milestones/03-wianco-lead.md","AR","2022 - الآن","2","2022 - الآن","2","0","Verify factual context","2","2","0%"
"Journey","title","src/content/journey/milestones/03-wianco-lead.md","AR","قيادة فرق Software Development وتسليم المنتج","6","قيادة فرق هندسة البرمجيات وتسليم المنتج","6","0","Rewritten; Terminology; Verify factual context","6","6","0%"
"Journey","Actions","src/content/journey/milestones/04-ai-direction.md","Mixed AR/EN","ربط اتجاه المنتج بقرارات هندسية قابلة للتنفيذ والمتابعة. التعامل مع AI كقدرة تحتاج جودة، حوكمة، وحدود استخدام واضحة. بناء لغة مشتركة بين الإدارة، المنتج، والهندسة حول المخاطر والفرص التقنية","29","ربط اتجاه المنتج بقرارات هندسية قابلة للتنفيذ. التعامل مع AI كقدرة تحتاج جودة وحوكمة وحدود استخدام. توحيد لغة الإدارة والمنتج والهندسة حول المخاطر والفرص","24","17.2","Rewritten; Repeated theme; Verify factual context","11","9","4.2%"
"Journey","context","src/content/journey/milestones/04-ai-direction.md","Mixed AR/EN","في المرحلة الحالية، أصبح التركيز على قيادة المنتج والتقنية مع فهم عملي لكيفية إدخال AI في أنظمة يمكن الوثوق بها وتشغيلها بوضوح.","22","أركز حاليًا على قيادة المنتج والتقنية وإدخال AI في أنظمة موثوقة وقابلة للتشغيل.","14","36.4","Rewritten; Condensed; Repeated theme; Verify factual context","22","14","7.1%"
"Journey","impact","src/content/journey/milestones/04-ai-direction.md","Mixed AR/EN","الجمع بين قيادة الفرق وعمق AI/NLP يساعد على اتخاذ قرارات تقنية مسؤولة: أين يفيد الذكاء الاصطناعي، كيف نحدده، وكيف نجعله قابلًا للفحص.","23","يجمع هذا العمل قيادة الفرق بخبرة AI وNLP لتحديد الاستخدام المناسب وحدوده وطريقة فحصه.","14","39.1","Rewritten; Condensed; Verify factual context","23","14","14.3%"
"Journey","lesson","src/content/journey/milestones/04-ai-direction.md","Mixed AR/EN","القيمة الحقيقية للذكاء الاصطناعي تظهر عندما يصبح جزءًا من نظام عمل واضح، لا مجرد تجربة منفصلة.","17","تظهر قيمة AI عندما يصبح جزءًا من نظام عمل واضح، لا تجربة منفصلة.","14","17.6","Rewritten; Repeated theme; Verify factual context","17","14","7.1%"
"Journey","location","src/content/journey/milestones/04-ai-direction.md","AR","ألمانيا","1","ألمانيا","1","0","Verify factual context","1","1","0%"
"Journey","organization","src/content/journey/milestones/04-ai-direction.md","EN","WIANCO OTT Robotics GmbH","4","WIANCO OTT Robotics GmbH","4","0","Verify factual context","4","4","0%"
"Journey","period","src/content/journey/milestones/04-ai-direction.md","AR","2024 - الآن","2","2024 - الآن","2","0","Verify factual context","2","2","0%"
"Journey","title","src/content/journey/milestones/04-ai-direction.md","Mixed AR/EN","Product & Technology Leadership بوعي AI حديث","6","قيادة المنتج والتقنية بوعي حديث بـ AI","7","-16.7","Rewritten; Verify factual context","6","7","14.3%"
"Journey","description","src/content/journey/themes/01-engineering-leadership.md","AR","بناء وضوح مشترك بين المنتج، Software Engineering، الجودة، والإصدار حتى تتحول الأولويات إلى تسليم موثوق.","15","توحيد المنتج وهندسة البرمجيات والجودة والإصدار لتحويل الأولويات إلى تسليم موثوق.","11","26.7","Rewritten; Condensed; Terminology; Repeated theme","15","11","0%"
"Journey","title","src/content/journey/themes/01-engineering-leadership.md","AR","قيادة المنتج والهندسة","3","قيادة المنتج والهندسة","3","0","No change needed","3","3","0%"
"Journey","description","src/content/journey/themes/02-arabic-nlp.md","AR","تحويل الغموض إلى مسؤوليات واضحة، التزامات قابلة للفحص، وحلقات متابعة تساعد الفريق على التحسن دون ضجيج.","16","تحويل الغموض إلى مسؤوليات والتزامات قابلة للفحص والمتابعة.","8","50","Rewritten; Condensed; Repeated theme","16","8","0%"
"Journey","title","src/content/journey/themes/02-arabic-nlp.md","AR","أنظمة عمل قابلة للمتابعة","4","أنظمة عمل قابلة للمتابعة","4","0","No change needed","4","4","0%"
"Journey","description","src/content/journey/themes/03-robotics-simulation.md","Mixed AR/EN","خلفية أكاديمية وعملية في الذكاء الاصطناعي، معالجة اللغة الطبيعية، وهندسة الأنظمة تجعل القيادة التقنية أكثر واقعية ودقة.","17","خبرة أكاديمية وعملية في AI وNLP وهندسة الأنظمة تدعم قرارات تقنية واقعية.","12","29.4","Rewritten; Condensed","17","12","16.7%"
"Journey","title","src/content/journey/themes/03-robotics-simulation.md","Mixed AR/EN","عمق تقني في AI/NLP والبرمجيات","5","عمق تقني في AI وNLP والبرمجيات","6","-20","Rewritten; High mixed-language density","5","6","33.3%"
"Journey","section-label","src/pages/Journey.tsx","Neutral","01","1","01","1","0","No change needed","1","1","0%"
"Journey","section-label","src/pages/Journey.tsx","Neutral","02","1","02","1","0","No change needed","1","1","0%"
"Journey","section-label","src/pages/Journey.tsx","EN","Working themes","2","Working themes","2","0","No change needed","2","2","0%"
"Journey","section-label","src/pages/Journey.tsx","Neutral","03","1","03","1","0","No change needed","1","1","0%"
"Journey","section-label","src/pages/Journey.tsx","EN","Operating principles","2","Operating principles","2","0","No change needed","2","2","0%"
"Journey","section-label","src/pages/Journey.tsx","Neutral","04","1","04","1","0","No change needed","1","1","0%"
"Journey","section-label","src/pages/Journey.tsx","EN","Professional proof","2","Professional proof","2","0","No change needed","2","2","0%"
"Journey","section-label","src/pages/Journey.tsx","Neutral","05","1","05","1","0","No change needed","1","1","0%"
"Journey","section-label","src/pages/Journey.tsx","EN","Selected path","2","Selected path","2","0","No change needed","2","2","0%"
"Journey","section-label","src/pages/Journey.tsx","Neutral","06","1","06","1","0","No change needed","1","1","0%"
"Journey","section-label","src/pages/Journey.tsx","EN","Ideas in practice","3","Ideas in practice","3","0","No change needed","3","3","0%"
"Shared UI","copyAr.blog.eyebrow","src/features/copy/ar.ts","AR","كتابات داعمة للرحلة","3","أفكار من واقع العمل","4","-33.3","Rewritten","3","4","0%"
"Shared UI","copyAr.blog.subtitle","src/features/copy/ar.ts","Mixed AR/EN","مقالات حول قيادة الفرق التقنية، تنفيذ المنتج، هندسة البرمجيات، والذكاء الاصطناعي. مساحة لتوسيع أفكار عملية بعيدًا عن الضجيج.","19","مقالات عملية عن قيادة المنتج والهندسة، AI، والأتمتة.","8","57.9","Rewritten; Condensed","11","8","12.5%"
"Shared UI","copyAr.blog.title","src/features/copy/ar.ts","AR","المدونة","1","المدونة","1","0","No change needed","1","1","0%"
"Shared UI","copyAr.common.backToBlog","src/features/copy/ar.ts","AR","→ العودة إلى المدونة","3","→ العودة إلى المدونة","3","0","No change needed","3","3","0%"
"Shared UI","copyAr.common.linkedInCta","src/features/copy/ar.ts","EN","LinkedIn ↗","1","LinkedIn ↗","1","0","No change needed","1","1","0%"
"Shared UI","copyAr.common.readLabel","src/features/copy/ar.ts","AR","قراءة","1","للقراءة","1","0","Rewritten","1","1","0%"
"Shared UI","copyAr.common.readPostCta","src/features/copy/ar.ts","AR","اقرأ المقال ←","2","اقرأ المقال ←","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.home.blogCta","src/features/copy/ar.ts","AR","تصفح المدونة","2","تصفح المدونة","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.home.showAllCta","src/features/copy/ar.ts","AR","عرض الكل ←","2","عرض الكل ←","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.journey.eyebrow","src/features/copy/ar.ts","Mixed AR/EN","رحلة مهنية في المنتج والهندسة والذكاء الاصطناعي","7","من الهندسة وAI إلى قيادة المنتج والتقنية","7","0","Rewritten","7","7","14.3%"
"Shared UI","copyAr.journey.principles[0].body","src/features/copy/ar.ts","AR","أبدأ بتحديد القرار، النطاق، ومعنى كلمة تم قبل الدخول في التنفيذ.","11","أحدد القرار والنطاق ومعيار الإنجاز قبل التنفيذ.","7","36.4","Rewritten; Condensed","11","7","0%"
"Shared UI","copyAr.journey.principles[0].title","src/features/copy/ar.ts","AR","الوضوح أولًا","3","الوضوح أولًا","3","0","No change needed","3","3","0%"
"Shared UI","copyAr.journey.principles[1].body","src/features/copy/ar.ts","AR","أحوّل الالتزامات إلى نقاط متابعة قابلة للفحص، لا إلى نوايا عامة.","12","أحوّل الالتزامات إلى نتائج قابلة للفحص.","7","41.7","Rewritten; Condensed; Repeated theme","12","7","0%"
"Shared UI","copyAr.journey.principles[1].title","src/features/copy/ar.ts","AR","القياس بدل الانطباع","3","القياس بدل الانطباع","3","0","No change needed","3","3","0%"
"Shared UI","copyAr.journey.principles[2].body","src/features/copy/ar.ts","AR","إذا لم تتحول المراجعات إلى سلوك جديد، أضيف آلية متابعة خفيفة تجعل الالتزام مرئيًا.","15","أربط كل مراجعة بإجراء ومالك وموعد متابعة.","7","53.3","Rewritten; Condensed","15","7","0%"
"Shared UI","copyAr.journey.principles[2].title","src/features/copy/ar.ts","AR","إغلاق الحلقات","2","إغلاق الحلقات","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.journey.principles[3].body","src/features/copy/ar.ts","AR","أوضح الملكية والحدود بين المنتج والهندسة والجودة حتى لا تتحول الفجوات إلى إعادة عمل.","14","أوضح الملكية بين المنتج والهندسة والجودة لتقليل إعادة العمل.","9","35.7","Rewritten; Condensed; Repeated theme","14","9","0%"
"Shared UI","copyAr.journey.principles[3].title","src/features/copy/ar.ts","AR","حماية الفريق من الغموض","4","حماية الفريق من الغموض","4","0","No change needed","4","4","0%"
"Shared UI","copyAr.journey.principles[4].body","src/features/copy/ar.ts","AR","أتدخل تكتيكيًا عند الحاجة، لكن الهدف دائمًا أن تصبح العملية قابلة للملكية من الفريق.","16","أبني عمليات يستطيع الفريق امتلاكها دون اعتماد دائم عليّ.","9","43.8","Rewritten; Condensed; Repeated theme","16","9","0%"
"Shared UI","copyAr.journey.principles[4].title","src/features/copy/ar.ts","AR","التصميم للتفويض","2","التصميم للتفويض","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.journey.principlesTitle","src/features/copy/ar.ts","AR","كيف أعمل","2","كيف أعمل","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.journey.proofStories[0].body","src/features/copy/ar.ts","AR","أصمم حلقات متابعة أبسط: التزام واضح، طريقة فحص، وموعد رجوع.","10","ربط كل التزام بمالك ومعيار فحص وموعد مراجعة.","8","20","Rewritten; Condensed; Repeated theme","10","8","0%"
"Shared UI","copyAr.journey.proofStories[0].title","src/features/copy/ar.ts","AR","إعادة بناء المتابعة داخل التنفيذ","5","متابعة داخل التنفيذ","3","40","Rewritten; Condensed","5","3","0%"
"Shared UI","copyAr.journey.proofStories[1].body","src/features/copy/ar.ts","AR","أعمل على تعريف الملكية ومعايير الجاهزية حتى يصبح القرار أقل اعتمادًا على الأشخاص وأكثر اعتمادًا على نظام العمل.","20","تعريف الملكية ومعايير الجاهزية لتسريع القرار وتقليل الاعتماد على الأفراد.","10","50","Rewritten; Condensed; Repeated theme","20","10","0%"
"Shared UI","copyAr.journey.proofStories[1].title","src/features/copy/ar.ts","AR","تثبيت الملكية بين الفرق","4","ملكية واضحة بين الفرق","4","0","Rewritten; Repeated theme","4","4","0%"
"Shared UI","copyAr.journey.proofStories[2].body","src/features/copy/ar.ts","Mixed AR/EN","أتعامل مع AI كقدرة هندسية تحتاج حوكمة وقابلية للفحص وحدود استخدام واضحة.","12","إدخال AI كقدرة هندسية ذات حوكمة وحدود استخدام واضحة.","9","25","Rewritten; Condensed; Repeated theme","12","9","11.1%"
"Shared UI","copyAr.journey.proofStories[2].title","src/features/copy/ar.ts","Mixed AR/EN","قيادة تقنية بوعي حديث بالذكاء الاصطناعي","6","AI محكوم وقابل للفحص","4","33.3","Rewritten; Condensed","6","4","25%"
"Shared UI","copyAr.journey.proofTitle","src/features/copy/ar.ts","AR","أمثلة عامة على الأثر","4","أثر عملي","2","50","Rewritten; Condensed","4","2","0%"
"Shared UI","copyAr.journey.subtitle","src/features/copy/ar.ts","Mixed AR/EN","هذه ليست سيرة ذاتية طويلة. إنها قصة انتقال من خلفية أكاديمية وتقنية في الذكاء الاصطناعي وهندسة البرمجيات إلى قيادة فرق وأنظمة عمل قادرة على التسليم بوضوح واحتراف.","27","رحلة من AI وهندسة البرمجيات إلى قيادة فرق وأنظمة عمل تسلّم بوضوح وموثوقية.","14","48.1","Rewritten; Condensed; Repeated theme","22","14","7.1%"
"Shared UI","copyAr.journey.themesTitle","src/features/copy/ar.ts","AR","المحاور التي تلخص عملي","4","محاور عملي","2","50","Rewritten; Condensed","4","2","0%"
"Shared UI","copyAr.journey.timelineTitle","src/features/copy/ar.ts","AR","المسار المهني","2","المسار المهني","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.journey.titleHighlight","src/features/copy/ar.ts","EN","Product & Technology","2","Product & Technology","2","0","No change needed","2","2","0%"
"Shared UI","copyAr.journey.titlePrefix","src/features/copy/ar.ts","Mixed AR/EN","من AI/NLP إلى قيادة","4","من AI وNLP إلى قيادة","5","-25","Rewritten; High mixed-language density","4","5","40%"
"Shared UI","copyAr.notFound.backHomeCta","src/features/copy/ar.ts","AR","العودة إلى الرئيسية","3","العودة إلى الرئيسية","3","0","No change needed","3","3","0%"
"Shared UI","copyAr.notFound.subtitle","src/features/copy/ar.ts","AR","الصفحة غير موجودة","3","الصفحة غير موجودة","3","0","No change needed","3","3","0%"
"Shared UI","copyAr.notFound.title","src/features/copy/ar.ts","Neutral","404","1","404","1","0","No change needed","1","1","0%"
